time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Kumo Cloud Upper Line,Kumo Cloud Lower Line,Basis,Upper,Lower,EMA,Smoothing Line,MA,Smoothing Line,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Histogram,MACD,Signal,%K,%D,MOM,Accumulation/Distribution,ATR,Bollinger Bands Width
2011-08-18T00:00:00Z,10.9,10.9,10.9,10.9,0.48990826,NaN,NaN,NaN,NaN,5.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.48990826,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
2011-08-19T00:00:00Z,11.85,11.85,11.15,11.69,1.92657814,NaN,10.9,NaN,NaN,6.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92657814,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,1.0458567045714269,NaN,NaN
2011-08-20T00:00:00Z,11.7,11.7,11.7,11.7,0.08547009,NaN,10.9,NaN,NaN,4.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08547009,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,1.0458567045714269,NaN,NaN
2011-08-21T00:00:00Z,11.7,11.7,11.7,11.7,0.08547009,NaN,10.919,NaN,NaN,4.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08547009,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,1.0458567045714269,NaN,NaN
2011-08-22T00:00:00Z,11.7,11.7,11.7,11.7,0.02863249,NaN,10.93762,NaN,NaN,4.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02863249,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,1.0458567045714269,NaN,NaN
2011-08-24T00:00:00Z,11.5,11.5,10.5,10.5,2.35652174,NaN,11.85,NaN,NaN,4.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.35652174,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,-1.310665035428573,NaN,NaN
2011-08-25T00:00:00Z,10,10,10,10,1.1,NaN,11.823,NaN,NaN,4.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,-1.310665035428573,NaN,NaN
2011-08-30T00:00:00Z,8,8,8,8,1,NaN,11.75008,NaN,NaN,4.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,-1.310665035428573,NaN,NaN
2011-09-01T00:00:00Z,8,8.31,5.25,8.22,164.48,NaN,11.5250752,8.55,NaN,4.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.49,NaN,10.49,NaN,164.48,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,153.49404084692438,NaN,NaN
2011-09-02T00:00:00Z,8.12,8.88,8,8.88,79.76,NaN,11.023069184,8.55,NaN,4.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.168000000000001,NaN,10.265555555555556,NaN,79.76,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,233.2540408469244,NaN,NaN
